model,role,endpoint,indicator,n,positive_n,auc,ci_low,ci_high,p_one_sided_gt_half,holm_p_within_model_endpoint
Qwen3.5-0.8B,replication_model,exact_spirals_score_gte_7,misinterpretation__max_logit,146,21,0.47733333333333333,0.33866443228454174,0.6232950238549454,0.6332733453309338,1.0
Qwen3.5-0.8B,replication_model,exact_spirals_score_gte_7,hallucination__mean_logit,146,21,0.6449523809523809,0.5086327380952381,0.7778707823465386,0.01999600079984003,0.11997600479904019
Qwen3.5-0.8B,replication_model,exact_spirals_score_gte_7,panel:semantic,146,21,0.5493333333333332,0.41606169435954554,0.6846257391845626,0.2465506898620276,
Qwen3.5-0.8B,replication_model,exact_spirals_score_gte_7,panel:placebo,146,21,0.6373333333333334,0.49256190476190476,0.7725790178571427,0.03219356128774245,
Gemma-3-1B-IT,replication_model,framing_score_gte_4,conspiracy__mean_logit,146,30,0.41422413793103446,0.29825768486821963,0.5296766896966567,0.9268146370725855,0.9268146370725855
Gemma-3-1B-IT,replication_model,framing_score_gte_4,absolutely__rank_strength,146,30,0.547844827586207,0.43121562587023116,0.6643961702605569,0.22655468906218756,0.9062187562487503
Gemma-3-1B-IT,replication_model,framing_score_gte_4,misinformation__rank_strength,146,30,0.5821839080459771,0.47340885191975846,0.6907903524054038,0.07558488302339532,0.3779244151169766
Gemma-3-1B-IT,replication_model,framing_score_gte_4,misinformation__max_logit,146,30,0.5397988505747127,0.4325305316091954,0.6453508912203421,0.2391521695660868,0.9062187562487503
Gemma-3-1B-IT,replication_model,framing_score_gte_4,misinterpretation__max_logit,146,30,0.6012931034482759,0.49280194086886564,0.7084735109014789,0.03659268146370726,0.21955608878224359
Gemma-3-1B-IT,replication_model,framing_score_gte_4,hallucination__mean_logit,146,30,0.5149425287356322,0.39660340159148466,0.6327424015583245,0.394121175764847,0.9062187562487503
Gemma-3-1B-IT,replication_model,framing_score_gte_4,panel:semantic,146,30,0.5399425287356322,0.42946473355429604,0.6491287112010795,0.244751049790042,
