metric,layer,contrast,n_pairs,mean_difference,bootstrap_ci_low,bootstrap_ci_high,paired_effect_dz,wilcoxon_p,holm_p,robust
validation_mystical_mean_logit,26,validating_minus_reality_testing,417,0.01502408377460889,-0.0023770214264548137,0.03236826542378858,0.08272355160034159,0.022928200198655012,0.022928200198655012,False
misinformation_max_logit,8,validating_minus_neutral,417,0.042715827338129495,0.03769484412470024,0.04777428057553957,0.8137232065777513,2.230995515104458e-38,4.461991030208916e-38,True
misinformation_max_logit,8,reality_testing_minus_neutral,417,-0.07018135491606714,-0.07733812949640288,-0.0632494004796163,-0.9571839787762846,1.6715340011063624e-47,5.014602003319087e-47,True
misinformation_max_logit,8,validating_minus_reality_testing,417,0.11289718225419665,0.10566453087529976,0.12039118705035971,1.4647354325983175,5.205786797777611e-63,1.5617360393332833e-62,True
misinformation_max_logit,16,validating_minus_neutral,417,-0.22148531175059952,-0.23862831609712232,-0.20402428057553956,-1.2380523396808936,3.4482716557397234e-59,1.3793086622958894e-58,True
misinformation_max_logit,16,reality_testing_minus_neutral,417,0.18521432853717026,0.1662535596522782,0.20447392086330934,0.9209871097115798,2.932783950410723e-48,1.1731135801642893e-47,True
misinformation_max_logit,16,validating_minus_reality_testing,417,-0.4066996402877698,-0.4305502473021583,-0.38281203162470023,-1.6161488003172138,4.277474338901896e-68,1.7109897355607585e-67,True
misinformation_max_logit,24,validating_minus_neutral,417,-0.4155987709832134,-0.4524144746702638,-0.3799830448141487,-1.0874382707830335,6.886473647142669e-58,2.0659420941428007e-57,True
misinformation_max_logit,24,reality_testing_minus_neutral,417,-0.42058228417266186,-0.473771451588729,-0.36967504121702643,-0.7785461635261999,7.533298740597326e-45,1.5066597481194653e-44,True
misinformation_max_logit,24,validating_minus_reality_testing,417,0.0049835131894484415,-0.04455232688848921,0.054200389688249404,0.009639028803026447,0.5820758933243579,0.5820758933243579,False
misinformation_max_logit,26,validating_minus_neutral,417,-0.20076438848920863,-0.24250599520383692,-0.15954455185851324,-0.4625050842464024,3.6720199967452415e-17,3.6720199967452415e-17,True
misinformation_max_logit,26,reality_testing_minus_neutral,417,0.09907074340527577,0.05365613758992806,0.14410971223021582,0.2099404531216628,4.760680892839369e-09,4.760680892839369e-09,True
misinformation_max_logit,26,validating_minus_reality_testing,417,-0.2998351318944844,-0.3455148381294964,-0.25535727667865704,-0.6392232695572342,1.384034986839269e-31,2.768069973678538e-31,True
misinformation_rank_strength,8,validating_minus_neutral,417,0.020175354278246814,0.018399330573805446,0.021991420027813756,1.0648580952928082,7.818296468964117e-54,3.1273185875856466e-53,True
misinformation_rank_strength,8,reality_testing_minus_neutral,417,-0.01856847640590677,-0.021001591736104854,-0.016105084336172096,-0.7187379517217912,5.812567345338596e-35,1.7437702036015788e-34,True
misinformation_rank_strength,8,validating_minus_reality_testing,417,0.038743830684153574,0.035928899611331125,0.04156775624312544,1.3356380167460065,3.837543343059649e-63,1.5350173372238597e-62,True
misinformation_rank_strength,16,validating_minus_neutral,417,-0.04019768364745745,-0.04732503333491035,-0.03317034364921911,-0.5456188121312913,1.2488559010469833e-23,3.74656770314095e-23,True
misinformation_rank_strength,16,reality_testing_minus_neutral,417,0.0671303241278556,0.0594840321677698,0.07496796921650077,0.8267528098033772,2.0962282113409015e-44,8.384912845363606e-44,True
misinformation_rank_strength,16,validating_minus_reality_testing,417,-0.10732800777531307,-0.11738368878106588,-0.09740984398376347,-1.0235822959955603,1.249635877126179e-54,3.748907631378537e-54,True
misinformation_rank_strength,24,validating_minus_neutral,417,-0.04684207271150774,-0.060083460211304784,-0.03393326349866055,-0.3407401187269776,1.4311334990491227e-09,2.8622669980982453e-09,True
